1, 306,121,369
2, 218,288,291
3, 336,55,288
4, 59,259,320
5, 93,362,304
6, 301,303,244
7, 7,45,395
8, 394,120,354
9, 20,250,82
10, 159,305,311
11, 217,14,429
12, 235,146,143
13, 40,333,42
14, 362,281,303
15, 345,61,328
16, 242,350,286
17, 439,84,335
18, 402,14,427
19, 192,441,158
20, 250,309,281
21, 201,112,24
22, 46,270,213
23, 205,148,216
24, 328,375,287
25, 95,85,67
26, 306,419,379
27, 148,338,169
28, 163,350,218
29, 244,48,188
30, 137,380,96
31, 194,433,179
32, 210,133,33
33, 32,133,274
34, 58,244,6
35, 396,100,167
36, 455,45,235
37, 268,111,282
38, 455,36,262
39, 100,284,306
40, 13,333,42
41, 399,280,33
42, 139,40,13
43, 142,381,450
44, 265,136,198
45, 180,7,262
46, 72,22,174
47, 223,82,258
48, 244,188,444
49, 369,467,255
50, 396,14,401
51, 454,309,316
52, 112,130,416
53, 102,123,313
54, 370,101,459
55, 3,65,195
56, 194,127,345
57, 402,106,259
58, 34,185,299
59, 70,87,123
60, 296,86,368
61, 328,15,345
62, 15,287,96
63, 407,394,8
64, 316,381,341
65, 205,380,338
66, 162,462,425
67, 273,154,82
68, 174,213,328
69, 111,362,14
70, 174,372,126
71, 353,311,188
72, 338,46,234
73, 127,123,371
74, 467,326,305
75, 270,166,130
76, 174,166,15
77, 219,344,7
78, 223,411,142
79, 235,175,258
80, 439,84,463
81, 18,386,243
82, 141,154,273
83, 390,196,32
84, 439,17,463
85, 427,27,169
86, 104,321,175
87, 59,379,160
88, 460,418,235
89, 205,256,137
90, 182,184,123
91, 240,131,46
92, 92,54,370
93, 5,309,64
94, 402,435,349
95, 419,372,70
96, 321,365,314
97, 54,370,101
98, 208,260,235
99, 186,198,381
100, 39,35,284
101, 54,370,92
102, 244,134,53
103, 412,129,146
104, 284,86,258
105, 172,143,117
106, 57,259,222
107, 444,337,415
108, 412,381,258
109, 118,166,255
110, 315,14,365
111, 37,297,268
112, 130,321,52
113, 208,127,299
114, 460,170,131
115, 402,18,71
116, 248,96,156
117, 257,143,376
118, 211,369,272
119, 205,305,178
120, 407,8,362
121, 212,105,1
122, 320,3,390
123, 371,127,90
124, 212,189,202
125, 348,463,320
126, 174,70,372
127, 113,194,56
128, 26,291,252
129, 191,46,103
130, 112,52,75
131, 91,430,240
132, 333,340,263
133, 15,463,136
134, 370,435,276
135, 63,46,445
136, 198,133,112
137, 30,380,96
138, 267,359,460
139, 42,394,275
140, 182,126,174
141, 82,136,314
142, 43,450,400
143, 117,376,257
144, 383,236,62
145, 213,174,299
146, 382,12,117
147, 209,8,297
148, 239,205,27
149, 152,231,369
150, 58,467,321
151, 304,394,362
